timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect,"LABEL"
1501091077639,2578,Get data,200,OK,The thread Group 1-1,text,true,,2864692,228,1,1,2523,0,36,School of Integrative Plant Science                        
1501091080217,801,Get data,200,OK,The thread Group 1-1,text,true,,1283415,228,1,1,776,0,2,Molecular Biology and Genetics                             
1501091081018,615,Get data,200,OK,The thread Group 1-1,text,true,,1033559,228,1,1,594,0,0,Ecology and Evolutionary Biology                           
1501091081633,691,Get data,200,OK,The thread Group 1-1,text,true,,966725,228,1,1,672,0,0,Electrical and Computer Engineering                        
1501091082324,657,Get data,200,OK,The thread Group 1-1,text,true,,799818,228,1,1,641,0,1,Natural Resources                                          
1501091082983,601,Get data,200,OK,The thread Group 1-1,text,true,,795835,228,1,1,586,0,0,Food Science                                               
1501091083584,615,Get data,200,OK,The thread Group 1-1,text,true,,774864,228,1,1,599,0,0,Earth and Atmospheric Sciences                             
1501091084200,814,Get data,200,OK,The thread Group 1-1,text,true,,685271,228,1,1,801,0,0,Charles H. Dyson School of Applied Economics and Management
1501091085015,482,Get data,200,OK,The thread Group 1-1,text,true,,710307,228,1,1,468,0,0,Materials Science and Engineering                          
1501091085498,385,Get data,200,OK,The thread Group 1-1,text,true,,661333,228,1,1,372,0,0,Entomology                                                 
1501091085884,1973,Get data,200,OK,The thread Group 1-1,text,true,,2864692,228,1,1,1922,0,0,School of Integrative Plant Science                        
1501091087858,537,Get data,200,OK,The thread Group 1-1,text,true,,1283415,228,1,1,514,0,0,Molecular Biology and Genetics                             
1501091088396,435,Get data,200,OK,The thread Group 1-1,text,true,,1033559,228,1,1,415,0,0,Ecology and Evolutionary Biology                           
1501091088831,474,Get data,200,OK,The thread Group 1-1,text,true,,966725,228,1,1,456,0,0,Electrical and Computer Engineering                        
1501091089305,459,Get data,200,OK,The thread Group 1-1,text,true,,799818,228,1,1,445,0,0,Natural Resources                                          
1501091089765,402,Get data,200,OK,The thread Group 1-1,text,true,,795835,228,1,1,387,0,0,Food Science                                               
1501091090167,421,Get data,200,OK,The thread Group 1-1,text,true,,774864,228,1,1,406,0,1,Earth and Atmospheric Sciences                             
1501091090588,575,Get data,200,OK,The thread Group 1-1,text,true,,685271,228,1,1,562,0,0,Charles H. Dyson School of Applied Economics and Management
1501091091163,335,Get data,200,OK,The thread Group 1-1,text,true,,710307,228,1,1,322,0,0,Materials Science and Engineering                          
1501091091498,278,Get data,200,OK,The thread Group 1-1,text,true,,661333,228,1,1,266,0,0,Entomology                                                 
1501091091777,1787,Get data,200,OK,The thread Group 1-1,text,true,,2864692,228,1,1,1710,0,0,School of Integrative Plant Science                        
1501091093565,583,Get data,200,OK,The thread Group 1-1,text,true,,1283415,228,1,1,559,0,0,Molecular Biology and Genetics                             
1501091094148,440,Get data,200,OK,The thread Group 1-1,text,true,,1033559,228,1,1,421,0,0,Ecology and Evolutionary Biology                           
1501091094588,569,Get data,200,OK,The thread Group 1-1,text,true,,966725,228,1,1,549,0,0,Electrical and Computer Engineering                        
1501091095157,435,Get data,200,OK,The thread Group 1-1,text,true,,799818,228,1,1,420,0,0,Natural Resources                                          
1501091095592,404,Get data,200,OK,The thread Group 1-1,text,true,,795835,228,1,1,390,0,1,Food Science                                               
1501091095996,447,Get data,200,OK,The thread Group 1-1,text,true,,774864,228,1,1,431,0,0,Earth and Atmospheric Sciences                             
1501091096443,598,Get data,200,OK,The thread Group 1-1,text,true,,685271,228,1,1,586,0,0,Charles H. Dyson School of Applied Economics and Management
