timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect,"LABEL"
1500947814375,2606,Get data,200,OK,The thread Group 1-1,text,true,,966721,224,1,1,2591,0,36,Electrical and Computer Engineering
1500947816984,3326,Get data,200,OK,The thread Group 1-1,text,true,,710303,224,1,1,3315,0,1,Materials Science and Engineering
1500947820311,2633,Get data,200,OK,The thread Group 1-1,text,true,,634238,224,1,1,2623,0,1,Meinig School of Biomedical Engineering
1500947822945,391,Get data,200,OK,The thread Group 1-1,text,true,,573647,224,1,1,383,0,0,Civil and Environmental Engineering
1500947823337,2657,Get data,200,OK,The thread Group 1-1,text,true,,686647,224,1,1,2645,0,0,Smith School of Chemical and Biomolecular Engineering 
1500947825994,2779,Get data,200,OK,The thread Group 1-1,text,true,,693354,224,1,1,2769,0,1,Sibley School of Mechanical and Aerospace Engineering
1500947828774,3867,Get data,200,OK,The thread Group 1-1,text,true,,551477,224,1,1,3859,0,0,Applied and Engineering Physics
1500947832641,480,Get data,200,OK,The thread Group 1-1,text,true,,774860,224,1,1,468,0,1,Earth and Atmospheric Sciences
1500947833122,1545,Get data,200,OK,The thread Group 1-1,text,true,,646891,224,1,1,1536,0,0,Samuel Curtis Johnson Graduate School of Management
1500947834668,1679,Get data,200,OK,The thread Group 1-1,text,true,,174266,224,1,1,1676,0,0,Office of the Dean of Engineering
1500947836348,2061,Get data,200,OK,The thread Group 1-1,text,true,,966721,224,1,1,2047,0,0,Electrical and Computer Engineering
1500947838410,3473,Get data,200,OK,The thread Group 1-1,text,true,,710303,224,1,1,3463,0,0,Materials Science and Engineering
1500947841883,2714,Get data,200,OK,The thread Group 1-1,text,true,,634238,224,1,1,2705,0,1,Meinig School of Biomedical Engineering
1500947844597,414,Get data,200,OK,The thread Group 1-1,text,true,,573647,224,1,1,406,0,1,Civil and Environmental Engineering
1500947845011,2693,Get data,200,OK,The thread Group 1-1,text,true,,686647,224,1,1,2683,0,0,Smith School of Chemical and Biomolecular Engineering 
1500947847705,2768,Get data,200,OK,The thread Group 1-1,text,true,,693354,224,1,1,2758,0,0,Sibley School of Mechanical and Aerospace Engineering
1500947850474,3855,Get data,200,OK,The thread Group 1-1,text,true,,551477,224,1,1,3847,0,1,Applied and Engineering Physics
1500947854329,475,Get data,200,OK,The thread Group 1-1,text,true,,774860,224,1,1,465,0,1,Earth and Atmospheric Sciences
1500947854805,1541,Get data,200,OK,The thread Group 1-1,text,true,,646891,224,1,1,1532,0,0,Samuel Curtis Johnson Graduate School of Management
1500947856346,1680,Get data,200,OK,The thread Group 1-1,text,true,,174266,224,1,1,1678,0,1,Office of the Dean of Engineering
